timestamp,platform_z (mocap_frame),reference_heave,platform_heave
1748265389.3940046,1.480648681640625,-14.983556747436523,-16.93513183593749
1748265389.4440045,1.486033935546875,-14.353754997253418,-16.39660644531249
1748265389.4940045,1.4918511962890626,-13.701704978942871,-15.814880371093732
1748265389.5340047,1.4970220947265624,-13.028321266174316,-15.297790527343746
1748265389.6040046,1.5055106201171875,-12.334529876708984,-14.44893798828124
1748265389.6340046,1.5090443115234375,-11.62131118774414,-14.095568847656237
1748265389.6940045,1.516689208984375,-10.889738082885742,-13.331079101562482
1748265389.7440045,1.523597412109375,-10.140817642211914,-12.640258789062496
1748265389.7940047,1.5309595947265624,-9.375677108764648,-11.904040527343751
1748265389.8540046,1.540299072265625,-8.595394134521484,-10.9700927734375
1748265389.8940046,1.546161376953125,-7.801196575164795,-10.383862304687486
1748265389.9340045,1.552405029296875,-6.994251728057861,-9.759497070312495
1748265390.0040047,1.563429443359375,-6.175754070281982,-8.657055664062497
1748265390.0540047,1.5711800537109375,-5.347028732299805,-7.8819946289062415
1748265390.0840046,1.5754295654296875,-4.509304046630859,-7.457043457031243
1748265390.1540046,1.5864024658203124,-3.6639530658721924,-6.35975341796875
1748265390.1940045,1.5929957275390625,-2.8122663497924805,-5.700427246093742
1748265390.2540047,1.6029251708984376,-1.9556576013565063,-4.707482910156235
1748265390.2940047,1.6094649658203124,-1.0955344438552856,-4.053503417968751
1748265390.3440046,1.6179189453125,-0.2333381623029709,-3.208105468749989
1748265390.3940046,1.6266878662109374,0.6294690370559692,-2.3312133789062495
1748265390.4440045,1.635451171875,1.4913839101791382,-1.4548828124999913
1748265390.4940045,1.6442027587890624,2.350903034210205,-0.5797241210937498
1748265390.5440047,1.6529951171875,3.206502676010132,0.2995117187500007
1748265390.5840046,1.660123291015625,4.056624412536621,1.0123291015625036
1748265390.6540046,1.672418701171875,4.899710178375244,2.2418701171875055
1748265390.7040045,1.6811087646484375,5.734235763549805,3.1108764648437592
1748265390.7340045,1.6862108154296875,6.558588981628418,3.6210815429687626
1748265390.7940047,1.6963843994140626,7.37125825881958,4.638439941406269
1748265390.8540046,1.70666552734375,8.170631408691406,5.666552734375019
1748265390.8940046,1.7132545166015625,8.955212593078613,6.325451660156256
1748265390.9440045,1.72133251953125,9.723421096801758,7.133251953125019
1748265390.9840045,1.727929443359375,10.473795890808105,7.792944335937513
1748265391.0540047,1.7393067626953125,11.204827308654785,8.930676269531258
1748265391.0940046,1.7455283203125,11.915045738220215,9.552832031250013
1748265391.1440046,1.753278564453125,12.603023529052734,10.327856445312511
1748265391.1940045,1.7605853271484375,13.267326354980469,11.05853271484376
1748265391.2440045,1.767630859375,13.906614303588867,11.763085937500017
1748265391.2940047,1.774552978515625,14.51955795288086,12.45529785156252
1748265391.3540046,1.7788018798828125,15.10490608215332,12.880187988281255
1748265391.3940046,1.7837491455078125,15.661416053771973,13.37491455078126
1748265391.4340045,1.7899923095703125,16.187936782836914,13.999230957031262
1748265391.4940045,1.7990771484375,16.683374404907227,14.90771484375002
1748265391.5440047,1.8055396728515625,17.14669418334961,15.553967285156256
1748265391.5940046,1.8109947509765625,17.576921463012695,16.099475097656256
1748265391.6340046,1.8148936767578125,17.973188400268555,16.489367675781264
1748265391.7040045,1.8218125,18.334674835205078,17.181250000000013
1748265391.7340045,1.8242928466796875,18.660673141479492,17.42928466796876
1748265391.7940047,1.828854736328125,18.95048713684082,17.8854736328125
1748265391.8440046,1.832579833984375,19.203611373901367,18.257983398437517
1748265391.9040046,1.8366549072265625,19.419567108154297,18.665490722656266
1748265391.9440045,1.8389283447265625,19.597986221313477,18.89283447265626
1748265391.9940045,1.841565673828125,19.738603591918945,19.156567382812504
1748265392.0340047,1.8426395263671875,19.84125328063965,19.263952636718763
1748265392.1040046,1.843797119140625,19.905855178833008,19.379711914062515
1748265392.1340046,1.8447034912109375,19.93243980407715,19.470349121093754
1748265392.2040045,1.8480345458984375,19.921161651611328,19.80345458984376
1748265392.2440045,1.849305908203125,19.87221908569336,19.9305908203125
1748265392.2940047,1.8499620361328124,19.785961151123047,19.99620361328125
1748265392.3440046,1.849897216796875,19.662805557250977,19.989721679687513
1748265392.3940046,1.8498819580078125,19.503276824951172,19.988195800781263
1748265392.4440045,1.8498663330078124,19.308012008666992,19.986633300781254
1748265392.4940045,1.8500093994140625,19.077726364135742,20.00093994140626
1748265392.5440047,1.8499527587890625,18.81317901611328,19.99527587890626
1748265392.6040046,1.8499173583984374,18.515277862548828,19.99173583984375
1748265392.6440046,1.84976953125,18.184982299804688,19.97695312500001
1748265392.7040045,1.848229736328125,17.82331085205078,19.822973632812513
1748265392.7540047,1.845197509765625,17.431381225585938,19.519750976562513
1748265392.8040047,1.8413404541015626,17.010326385498047,19.134045410156265
1748265392.8340046,1.838605712890625,16.56136703491211,18.860571289062513
1748265392.8940046,1.833660888671875,16.08576774597168,18.366088867187514
1748265392.9440045,1.829524169921875,15.584830284118652,17.9524169921875
