__time,/qualisys/ship_deck_platform/pose/pose/position/z
1744111520.92056,1.793782959
1744111520.93012,1.795486328
1744111520.94029,1.797408325
1744111520.94631,1.798960327
1744111520.95595,1.801044678
1744111520.96603,1.802463623
1744111520.97995,1.804687866
1744111520.98528,1.805991211
1744111521.00062,1.808233032
1744111521.01024,1.809614258
1744111521.01579,1.811691772
1744111521.02961,1.813160156
1744111521.04555,1.815165161
1744111521.04619,1.816820679
1744111521.05783,1.818707275
1744111521.07446,1.820411865
1744111521.08092,1.822117798
1744111521.08776,1.823929443
1744111521.09575,1.82554895
1744111521.11809,1.827456543
1744111521.11904,1.829009766
1744111521.12509,1.830995728
1744111521.14066,1.832536621
1744111521.14957,1.834490112
1744111521.15978,1.83602832
1744111521.16588,1.837903198
1744111521.17572,1.839532227
1744111521.18531,1.841263428
1744111521.19975,1.843021729
1744111521.20973,1.844724487
1744111521.21524,1.846521484
1744111521.23021,1.848192993
1744111521.2397,1.849973389
1744111521.24517,1.851740601
1744111521.26011,1.853406372
1744111521.26902,1.855244507
1744111521.27497,1.856942139
1744111521.28555,1.858747559
1744111521.29772,1.860390869
1744111521.31084,1.862205444
1744111521.3151,1.863908325
1744111521.32837,1.865635986
1744111521.33551,1.867466797
1744111521.34991,1.869087158
1744111521.36031,1.871028809
1744111521.37276,1.872661743
1744111521.37948,1.874338867
1744111521.38547,1.876141479
1744111521.40052,1.877796143
1744111521.40969,1.879559204
1744111521.41617,1.881233887
1744111521.42989,1.882942383
1744111521.43538,1.884712769
1744111521.44566,1.886318604
1744111521.45968,1.888106812
1744111521.4666,1.889682007
1744111521.48002,1.891356689
1744111521.4855,1.893128662
1744111521.50042,1.894765381
1744111521.50955,1.896570435
1744111521.51536,1.898224243
1744111521.53341,1.8999552
1744111521.53819,1.901703125
1744111521.54976,1.90338147
1744111521.56051,1.905177734
1744111521.56551,1.906906982
1744111521.57609,1.908614624
1744111521.58533,1.91042749
1744111521.59601,1.912089478
1744111521.60496,1.913821533
1744111521.61732,1.915557129
1744111521.62544,1.91719397
1744111521.63996,1.918914429
1744111521.64942,1.920646484
1744111521.66036,1.922239014
1744111521.67025,1.92403418
1744111521.67525,1.925694458
1744111521.68993,1.927393799
1744111521.69517,1.929028931
1744111521.70505,1.930768066
1744111521.71511,1.932481567
1744111521.72955,1.934149048
1744111521.73527,1.935890381
1744111521.74524,1.937618896
1744111521.75983,1.939294434
1744111521.77346,1.941043579
1744111521.78652,1.942722778
1744111521.789,1.944345825
1744111521.80036,1.946053711
1744111521.80497,1.947776367
1744111521.8206,1.949426392
1744111521.8265,1.951063721
1744111521.83993,1.952711426
1744111521.84555,1.954422119
1744111521.85609,1.956002197
1744111521.86563,1.957631592
1744111521.87548,1.959346436
1744111521.88945,1.960894409
1744111521.89679,1.96261377
1744111521.91557,1.964203247
1744111521.91612,1.965852783
1744111521.93019,1.967379395
1744111521.94731,1.969071167
1744111521.95176,1.970577271
1744111521.95611,1.972162476
1744111521.97936,1.973668457
1744111521.98032,1.975065063
1744111521.98506,1.976525879
1744111522.01152,1.97787793
1744111522.01205,1.979109497
1744111522.01661,1.980168701
1744111522.02516,1.981234741
1744111522.04374,1.982228516
1744111522.04595,1.983135254
1744111522.06006,1.984067139
1744111522.06996,1.984970337
1744111522.07968,1.98583606
1744111522.08956,1.986640259
1744111522.09963,1.987404541
1744111522.10501,1.988119995
1744111522.12005,1.98889563
1744111522.12521,1.989685547
1744111522.13528,1.990412109
1744111522.1453,1.991150879
1744111522.15573,1.991916382
1744111522.17081,1.992676636
1744111522.17517,1.99344165
1744111522.18972,1.994185303
1744111522.19539,1.994906372
1744111522.20553,1.995737427
1744111522.21535,1.99652417
1744111522.22626,1.997266968
1744111522.24362,1.997878418
1744111522.25442,1.998564575
1744111522.26151,1.999159668
1744111522.26781,1.999691406
1744111522.28001,2.000131226
1744111522.28788,2.000457031
1744111522.30705,2.000698486
1744111522.31214,2.000946167
1744111522.32012,2.001102295
1744111522.3301,2.001203735
1744111522.34093,2.001188354
1744111522.34497,2.001216797
1744111522.36015,2.00119812
1744111522.36592,2.001213623
1744111522.38046,2.001188721
1744111522.39356,2.001273804
1744111522.40965,2.001134888
1744111522.41087,2.001147583
1744111522.41728,2.000986938
1744111522.42999,2.000832886
1744111522.43568,2.000685181
1744111522.44555,2.000545288
1744111522.45664,2.000311646
1744111522.46514,2.000140259
1744111522.47546,1.99995459
1744111522.49033,1.99969751
1744111522.50032,1.999239868
1744111522.50969,1.998682617
1744111522.51969,1.997998901
1744111522.5299,1.99737793
1744111522.53512,1.996694946
1744111522.55007,1.995971069
1744111522.55503,1.995191895
1744111522.56545,1.994217896
1744111522.58032,1.993231689
1744111522.58516,1.992186401
1744111522.6016,1.990906372
1744111522.60951,1.989483643
1744111522.61711,1.98818042
1744111522.62848,1.986743896
1744111522.64948,1.985365845
1744111522.65065,1.983967407
1744111522.65665,1.982357788
1744111522.6699,1.980622314
1744111522.68026,1.979127686
1744111522.68531,1.97727771
1744111522.69635,1.975366821
1744111522.70639,1.97338562
1744111522.71958,1.97142688
1744111522.72516,1.969552368
1744111522.74417,1.967776367
1744111522.74511,1.965822876
1744111522.77656,1.963897095
1744111522.77786,1.959928833
1744111522.78531,1.957737671
1744111522.79518,1.955656128
1744111522.80525,1.95321521
1744111522.82014,1.951246338
1744111522.82979,1.949120605
1744111522.83997,1.94705957
1744111522.84489,1.945123047
1744111522.87187,1.94299646
1744111522.87266,1.940762451
1744111522.87941,1.938818604
1744111522.88525,1.936471924
1744111522.90341,1.934331543
1744111522.91028,1.931867432
1744111522.91526,1.929839722
1744111522.93527,1.927354736
1744111522.93625,1.925366943
1744111522.95011,1.923228638
1744111522.97067,1.920775879
1744111522.97404,1.918544556
1744111522.98473,1.916297363
1744111522.99439,1.914076294
1744111523.0014,1.911573242
1744111523.00584,1.909362793
1744111523.01612,1.906610229
1744111523.02566,1.904400269
1744111523.03965,1.901923828
1744111523.05349,1.899819458
1744111523.05623,1.897653442
1744111523.06965,1.895831787
1744111523.08029,1.893903198
