Z
-10.917
-11.065
-11.203
-11.332
-11.452
-11.562
-11.661
-11.75
-11.829
-11.896
-11.951
-11.994
-12.026
-12.044
-12.049
-12.042
-12.02
-11.985
-11.935
-11.872
-11.793
-11.7
-11.591
-11.468
-11.329
-11.174
-11.004
-10.818
-10.617
-10.4
-10.167
-9.9184
-9.6543
-9.3749
-9.0801
-8.7702
-8.4455
-8.1063
-7.7528
-7.3856
-7.0049
-6.6114
-6.2055
-5.7878
-5.359
-4.9197
-4.4707
-4.0126
-3.5464
-3.0728
-2.5928
-2.1073
-1.6171
-1.1234
-0.62696
-0.12897
0.36957
0.86761
1.3641
1.8578
2.3478
2.8329
3.312
3.784
4.2478
4.7023
5.1466
5.5796
6.0003
6.4078
6.8013
7.1798
7.5426
7.8891
8.2185
8.5302
8.8237
9.0986
9.3545
9.5911
9.8082
10.006
10.183
10.341
10.479
10.598
10.698
10.779
10.841
10.884
10.91
10.919
10.911
10.887
10.846
10.791
10.722
10.638
10.542
10.432
10.312
10.18
10.038
9.8865
9.7262
9.5581
9.3827
9.2009
9.0134
8.821
8.6243
8.4241
8.2211
8.0157
7.8088
7.6006
7.392
7.1832
6.9747
6.767
6.5604
6.3553
6.152
5.9507
5.7516
5.555
5.361
5.1697
4.9812
4.7955
4.6126
4.4325
4.2552
4.0805
3.9084
3.7387
3.5712
3.4058
3.2424
3.0807
2.9206
2.7618
2.6043
2.4479
2.2923
2.1376
1.9835
1.83
1.6769
1.5243
1.372
1.2202
1.0686
0.91744
0.76667
0.61636
0.46658
0.3174
0.16889
0.021148
-0.12572
-0.27167
-0.41653
-0.5603
-0.70289
-0.84423
-0.98431
-1.1232
-1.2608
-1.3973
-1.5327
-1.6671
-1.8006
-1.9334
-2.0656
-2.1973
-2.3289
-2.4604
-2.5919
-2.7238
-2.856
-2.9889
-3.1225
-3.257
-3.3924
-3.529
-3.6667
-3.8055
-3.9456
-4.0869
-4.2294
-4.3729
-4.5174
-4.6627
-4.8088
-4.9554
-5.1022
-5.249
-5.3957
-5.5417
-5.6869
-5.8308
-5.973
-6.1132
-6.2508
-6.3855
-6.5168
-6.6443
-6.7675
-6.886
-6.9993
-7.1071
-7.2088
-7.3041
-7.3926
-7.4739
-7.5476
-7.6133
-7.6707
-7.7194
-7.759
-7.7893
-7.8101
-7.8209
-7.8217
-7.8122
-7.7923
-7.7618
-7.7206
-7.6687
-7.6061
-7.5328
-7.4488
-7.3542
-7.2491
-7.1336
-7.008
-6.8723
-6.727
-6.5721
-6.4081
-6.2351
-6.0534
-5.8635
-5.6657
-5.4602
-5.2476
-5.0281
-4.8022
-4.5702
-4.3324
-4.0892
-3.8411
-3.5881
-3.3309
-3.0696
-2.8047
-2.5364
-2.2651
-1.9911
-1.7147
-1.4362
-1.1558
-0.87383
-0.59063
-0.30637
-0.021417
0.26401
0.54965
0.83522
1.1204
1.4049
1.6885
1.9707
2.2514
2.5302
2.8067
3.0806
3.3515
3.619
3.8828
4.1424
4.3974
4.6474
4.892
5.1308
5.3634
5.5894
5.8084
6.02
6.2239
6.4197
6.607
6.7856
6.955
7.1152
7.2657
7.4063
7.5369
7.6573
7.7673
7.8668
7.9557
8.034
8.1017
8.1588
8.2054
8.2415
8.2673
8.2829
8.2886
8.2844
8.2706
8.2475
8.2152
8.174
8.1241
8.0658
7.9993
7.9249
7.8427
7.753
7.656
7.552
7.4412
7.3237
7.2
7.0701
6.9344
6.793
6.6463
6.4945
6.3379
6.1767
6.0113
5.842
5.6691
5.4929
5.3137
5.1319
4.9478
4.7619
4.5743
4.3857
4.1961
4.0061
3.816
3.626
3.4366
3.248
3.0606
2.8744
2.6899
2.5072
2.3264
2.1478
1.9713
1.7971
1.6254
1.456
1.2891
1.1247
0.96261
0.80288
0.64537
0.49011
0.33686
0.18556
0.036107
-0.11172
-0.258
-0.40297
-0.54675
-0.68955
-0.83153
-0.9729
-1.1139
-1.2546
-1.3952
-1.536
-1.6771
-1.8186
-1.9608
-2.1039
-2.2479
-2.3931
-2.5396
-2.6874
-2.8368
-2.9879
-3.1406
-3.2952
-3.4517
-3.6101
-3.7704
-3.9327
-4.097
-4.2631
-4.4312
-4.601
-4.7725
-4.9456
-5.1202
-5.2962
-5.4733
-5.6514
-5.8302
-6.0097
-6.1896
-6.3695
-6.5493
-6.7286
-6.9071
-7.0845
-7.2604
-7.4345
-7.6063
-7.7753
-7.9412
-8.1034
-8.2615
-8.4149
-8.563
-8.7053
-8.8412
-8.9701
-9.0914
-9.2045
-9.3088
-9.4036
-9.4884
-9.5624
-9.6252
-9.676
-9.7142
-9.7393
-9.7508
-9.748
-9.7304
-9.6975
-9.6489
-9.5841
-9.5027
-9.4043
-9.2885
-9.155
-9.0036
-8.8341
-8.6461
-8.4396
-8.2144
-7.9705
-7.708
-7.4267
-7.1268
-6.8085
-6.472
-6.1174
-5.7452
-5.3556
-4.9492
-4.5264
-4.0878
-3.6341
-3.1658
-2.6837
-2.1887
-1.6816
-1.1633
-0.63468
-0.096862
0.4491
1.0021
1.561
2.1245
2.6914
3.2605
3.8304
4.3997
4.9672
5.5314
6.091
6.6446
7.1908
7.7281
8.2553
8.771
9.2737
9.7623
10.235
10.691
11.129
11.548
11.946
12.323
12.676
13.006
13.311
13.59
13.842
14.066
14.263
14.43
14.567
14.674
14.75
14.795
14.808
14.789
14.738
14.655
14.54
14.392
14.212
14
13.756
13.481
13.175
12.839
12.473
12.078
11.655
11.204
10.728
10.226
9.6995
9.1506
8.5802
7.9896
7.3803
6.7538
6.1116
5.4553
4.7866
4.1072
3.4187
2.723
2.0218
1.3169
0.61017
-0.096695
-0.80183
-1.5034
-2.1997
-2.8888
-3.5691
-4.2388
-4.8963
-5.5397
-6.1676
-6.7783
-7.3702
-7.942
-8.492
-9.0191
-9.5218
-9.9988
-10.449
-10.871
-11.265
-11.628
-11.961
-12.262
-12.531
-12.766
-12.969
-13.138
-13.273
-13.373
-13.439
-13.472
-13.47
-13.434
-13.364
-13.262
-13.127
-12.96
-12.761
-12.533
-12.275
-11.988
-11.674
-11.334
-10.969
-10.58
-10.168
-9.7359
-9.2838
-8.8135
-8.3265
-7.8245
-7.3088
-6.7811
-6.243
-5.6961
-5.1418
-4.5819
-4.0177
-3.451
-2.8833
-2.3159
-1.7506
-1.1887
-0.63163
-0.080921
0.46206
0.99599
1.5195
2.0314
2.5303
3.0152
3.4849
3.9383
4.3743
4.7922
5.1909
5.5697
5.9278
6.2645
6.5793
6.8715
7.1407
